chrom	scaffold
Chr02	NW_021938865.1
Chr02	NW_021940140.1
Chr02	NW_021938969.1
Chr02	NW_021939029.1
Chr02	NW_021939046.1
Chr02	NW_021939001.1
Chr02	NW_021939182.1
Chr02	NW_021940900.1
Chr02	NW_021940651.1
Chr02	NW_021940534.1
Chr02	NW_021940478.1
Chr02	NW_021940863.1
Chr02	NW_021940901.1
Chr02	NW_021937554.1
Chr02	NW_021939256.1
Chr02	NW_021939396.1
Chr02	NW_021940436.1
Chr02	NW_021940193.1
Chr02	NW_021939743.1
Chr02	NW_021939067.1
Chr02	NW_021939134.1
Chr02	NW_021940595.1
Chr02	NW_021938174.1
Chr02	NW_021939220.1
Chr02	NW_021937980.1
Chr02	NW_021939445.1
Chr02	NW_021937979.1
Chr02	NW_021937831.1
Chr02	NW_021939941.1
Chr02	NW_021940294.1
Chr02	NW_021938917.1
Chr02	NW_021938583.1
Chr02	NW_021940635.1
Chr02	NW_021938381.1
Chr02	NW_021938778.1
Chr02	NW_021940665.1
Chr02	NW_021940151.1
Chr02	NW_021939538.1
Chr02	NW_021940226.1
Chr02	NW_021939103.1
Chr02	NW_021938066.1
Chr02	NW_021939202.1
Chr02	NW_021938586.1
Chr02	NW_021940141.1
Chr02	NW_021939306.1
Chr02	NW_021938998.1
Chr03	NW_021938314.1
Chr03	NW_021937422.1
Chr03	NW_021939480.1
Chr03	NW_021937875.1
Chr03	NW_021939216.1
Chr03	NW_021940473.1
Chr03	NW_021938151.1
Chr03	NW_021939482.1
Chr03	NW_021938152.1
Chr03	NW_021939775.1
Chr03	NW_021940438.1
Chr03	NW_021937403.1
Chr03	NW_021940218.1
Chr03	NW_021940467.1
Chr03	NW_021940640.1
Chr03	NW_021938561.1
Chr03	NW_021939821.1
Chr03	NW_021939807.1
Chr03	NW_021938362.1
Chr03	NW_021940228.1
Chr03	NW_021939969.1
Chr03	NW_021937721.1
Chr03	NW_021937720.1
Chr03	NW_021940407.1
Chr03	NW_021938212.1
Chr03	NW_021939404.1
Chr03	NW_021938941.1
Chr03	NW_021940265.1
Chr03	NW_021939061.1
Chr03	NW_021939873.1
Chr03	NW_021939966.1
Chr03	NW_021939971.1
Chr03	NW_021938977.1
Chr03	NW_021939615.1
Chr03	NW_021939890.1
Chr03	NW_021939255.1
Chr03	NW_021938095.1
Chr03	NW_021939436.1
Chr03	NW_021938447.1
Chr03	NW_021940187.1
Chr03	NW_021940303.1
Chr03	NW_021939293.1
Chr03	NW_021938682.1
Chr03	NW_021940828.1
Chr03	NW_021938895.1
Chr03	NW_021938752.1
Chr03	NW_021938751.1
Chr03	NW_021937642.1
Chr03	NW_021938868.1
Chr03	NW_021937863.1
Chr03	NW_021940824.1
Chr03	NW_021940912.1
Chr03	NW_021940093.1
Chr03	NW_021938857.1
Chr03	NW_021940604.1
Chr03	NW_021940161.1
Chr03	NW_021940709.1
Chr03	NW_021940517.1
Chr03	NW_021940864.1
Chr03	NW_021940754.1
Chr03	NW_021940822.1
Chr03	NW_021940526.1
Chr03	NW_021938241.1
Chr03	NW_021937983.1
Chr03	NW_021939770.1
Chr03	NW_021938535.1
Chr03	NW_021940567.1
Chr03	NW_021939066.1
Chr03	NW_021939249.1
Chr03	NW_021940644.1
Chr04	NW_021939076.1
Chr04	NW_021939933.1
Chr04	NW_021939318.1
Chr04	NW_021939145.1
Chr04	NW_021940203.1
Chr04	NW_021940158.1
Chr04	NW_021939936.1
Chr04	NW_021940538.1
Chr04	NW_021940597.1
Chr04	NW_021940629.1
Chr04	NW_021940621.1
Chr04	NW_021940395.1
Chr04	NW_021940696.1
Chr04	NW_021938837.1
Chr04	NW_021938877.1
Chr04	NW_021940910.1
Chr04	NW_021938789.1
Chr04	NW_021940097.1
Chr04	NW_021940773.1
Chr04	NW_021940749.1
Chr04	NW_021938926.1
Chr04	NW_021938011.1
Chr04	NW_021939344.1
Chr04	NW_021939087.1
Chr04	NW_021938439.1
Chr04	NW_021938853.1
Chr04	NW_021939298.1
Chr04A	NW_021940704.1
Chr04A	NW_021940474.1
Chr04A	NW_021940896.1
Chr04A	NW_021939395.1
Chr05	NW_021938935.1
Chr05	NW_021938885.1
Chr05	NW_021940711.1
Chr05	NW_021940677.1
Chr05	NW_021940666.1
Chr05	NW_021940291.1
Chr05	NW_021939149.1
Chr05	NW_021940681.1
Chr05	NW_021940750.1
Chr05	NW_021938814.1
Chr05	NW_021938870.1
Chr05	NW_021937858.1
Chr05	NW_021940890.1
Chr06	NW_021940593.1
Chr06	NW_021940818.1
Chr06	NW_021940645.1
Chr06	NW_021939122.1
Chr06	NW_021940541.1
Chr07	NW_021940560.1
Chr07	NW_021939632.1
Chr07	NW_021939471.1
Chr07	NW_021938932.1
Chr07	NW_021940761.1
Chr08	NW_021938618.1
Chr08	NW_021940744.1
Chr08	NW_021940565.1
Chr08	NW_021940660.1
Chr08	NW_021939546.1
Chr08	NW_021940737.1
Chr09	NW_021940687.1
Chr09	NW_021940603.1
Chr09	NW_021938987.1
Chr09	NW_021940207.1
Chr09	NW_021940571.1
Chr10	NW_021940637.1
Chr10	NW_021939189.1
Chr11	NW_021938838.1
Chr11	NW_021939226.1
Chr11	NW_021938673.1
Chr11	NW_021940568.1
Chr11	NW_021938423.1
Chr11	NW_021938502.1
Chr11	NW_021937682.1
Chr11	NW_021940584.1
Chr11	NW_021938407.1
Chr11	NW_021939283.1
Chr11	NW_021939042.1
Chr11	NW_021937760.1
Chr11	NW_021938551.1
Chr11	NW_021938057.1
Chr11	NW_021940352.1
Chr11	NW_021939470.1
Chr11	NW_021940566.1
Chr11	NW_021938445.1
Chr11	NW_021937380.1
Chr11	NW_021938093.1
Chr11	NW_021938643.1
Chr11	NW_021940590.1
Chr12	NW_021939063.1
Chr12	NW_021938471.1
Chr12	NW_021940802.1
Chr12	NW_021940873.1
Chr13	NW_021940620.1
Chr13	NW_021939882.1
Chr13	NW_021938850.1
Chr14	NW_021940884.1
Chr14	NW_021938949.1
Chr15	NW_021940840.1
Chr15	NW_021940671.1
Chr15	NW_021940379.1
Chr16	NW_021937938.1
Chr16	NW_021939540.1
Chr16	NW_021937939.1
Chr16	NW_021938985.1
Chr16	NW_021938123.1
Chr16	NW_021940367.1
Chr16	NW_021940363.1
Chr16	NW_021939920.1
Chr17	NW_021940039.1
Chr18	NW_021939798.1
Chr19	NW_021940796.1
Chr19	NW_021940460.1
Chr20	NW_021939960.1
Chr20	NW_021937987.1
Chr20	NW_021940845.1
Chr20	NW_021938921.1
Chr20	NW_021940906.1
Chr21	NW_021940759.1
Chr21	NW_021940877.1
Chr21	NW_021938496.1
Chr21	NW_021937920.1
Chr21	NW_021940578.1
Chr21	NW_021940771.1
Chr21	NW_021938404.1
Chr21	NW_021939240.1
Chr22	NW_021940854.1
Chr22	NW_021939093.1
Chr22	NW_021940780.1
Chr22	NW_021938824.1
Chr23	NW_021940628.1
Chr23	NW_021940789.1
Chr23	NW_021938621.1
Chr24	NW_021939102.1
Chr24	NW_021938259.1
Chr24	NW_021940545.1
Chr24	NW_021937759.1
Chr25	NW_021938750.1
Chr25	NW_021940663.1
Chr25	NW_021938663.1
Chr25	NW_021939394.1
Chr25	NW_021937995.1
Chr25	NW_021937696.1
Chr25	NW_021940050.1
Chr25	NW_021938699.1
Chr25	NW_021938749.1
Chr25	NW_021940017.1
Chr25	NW_021940252.1
Chr25	NW_021939553.1
Chr25	NW_021939062.1
Chr25	NW_021940799.1
Chr25	NW_021938827.1
Chr25	NW_021940449.1
Chr25	NW_021939017.1
Chr25	NW_021938082.1
Chr25	NW_021939290.1
Chr25	NW_021938737.1
Chr25	NW_021938736.1
Chr25	NW_021939412.1
Chr25	NW_021940485.1
Chr25	NW_021938345.1
Chr25	NW_021938346.1
Chr25	NW_021938973.1
Chr25	NW_021939292.1
Chr25	NW_021940521.1
Chr25	NW_021938055.1
Chr25	NW_021938567.1
Chr25	NW_021938566.1
Chr25	NW_021937811.1
Chr25	NW_021937810.1
Chr25	NW_021937809.1
Chr25	NW_021938994.1
Chr25	NW_021940154.1
Chr25	NW_021939463.1
Chr25	NW_021939188.1
Chr25	NW_021938915.1
Chr25	NW_021940602.1
Chr25	NW_021938350.1
Chr26	NW_021940585.1
Chr26	NW_021939557.1
Chr26	NW_021939581.1
Chr26	NW_021938581.1
Chr26	NW_021939607.1
Chr26	NW_021938903.1
Chr27	NW_021937802.1
Chr27	NW_021938622.1
Chr27	NW_021937698.1
Chr27	NW_021937659.1
Chr27	NW_021938467.1
Chr27	NW_021938958.1
Chr27	NW_021938793.1
Chr27	NW_021938794.1
Chr27	NW_021940522.1
Chr27	NW_021940068.1
Chr27	NW_021940764.1
Chr27	NW_021938782.1
Chr27	NW_021938781.1
Chr27	NW_021939113.1
Chr27	NW_021939828.1
Chr27	NW_021939180.1
Chr27	NW_021938898.1
Chr27	NW_021939347.1
Chr27	NW_021938808.1
Chr28	NW_021938834.1
Chr28	NW_021938861.1
Chr28	NW_021938343.1
Chr28	NW_021940718.1
Chr28	NW_021939498.1
Chr28	NW_021939138.1
Chr28	NW_021940476.1
Chr28	NW_021939648.1
Chr28	NW_021940300.1
Chr28	NW_021940916.1
Chr28	NW_021938724.1
ChrZ	NW_021937843.1
ChrZ	NW_021938866.1
ChrZ	NW_021940553.1
ChrZ	NW_021940508.1
ChrZ	NW_021939170.1
ChrZ	NW_021939108.1
ChrZ	NW_021939324.1
ChrZ	NW_021940612.1
ChrZ	NW_021939718.1
ChrZ	NW_021938802.1
ChrZ	NW_021938319.1
ChrZ	NW_021940292.1
ChrZ	NW_021938983.1
ChrZ	NW_021939037.1
ChrZ	NW_021940917.1
Chr29	NW_021937914.1
Chr29	NW_021939198.1
Chr29	NW_021939339.1
Chr29	NW_021938349.1
Chr29	NW_021939280.1
Chr29	NW_021939717.1
Chr29	NW_021940126.1
Chr29	NW_021938128.1
Chr29	NW_021938507.1
Chr29	NW_021938508.1
Chr29	NW_021938509.1
Chr29	NW_021937408.1
Chr29	NW_021938510.1
Chr29	NW_021939007.1
Chr29	NW_021939323.1
Chr29	NW_021939275.1
Chr29	NW_021940033.1
Chr29	NW_021938462.1
Chr29	NW_021937481.1
Chr29	NW_021939443.1
Chr29	NW_021938171.1
Chr29	NW_021937388.1
Chr29	NW_021938968.1
Chr29	NW_021939970.1
Chr29	NW_021939129.1
Chr29	NW_021937410.1
Chr29	NW_021939340.1
Chr29	NW_021938683.1
Chr29	NW_021938948.1
Chr29	NW_021937515.1
Chr29	NW_021939352.1
Chr29	NW_021939272.1
Chr29	NW_021940337.1
Chr29	NW_021939057.1
Chr29	NW_021939248.1
Chr29	NW_021940555.1
Chr29	NW_021938444.1
Chr29	NW_021939708.1
Chr29	NW_021939069.1
Chr30	NW_021939797.1
Chr30	NW_021939931.1
Chr30	NW_021939447.1
Chr30	NW_021937360.1
Chr30	NW_021939084.1
Chr30	NW_021940139.1
Chr30	NW_021939365.1
Chr30	NW_021938372.1
Chr30	NW_021939972.1
Chr30	NW_021939330.1
Chr30	NW_021940199.1
Chr30	NW_021939750.1
Chr30	NW_021938125.1
Chr30	NW_021938126.1
Chr30	NW_021940174.1
Chr30	NW_021938569.1
Chr30	NW_021938568.1
Chr30	NW_021939860.1
Chr30	NW_021939504.1
Chr30	NW_021938572.1
Chr30	NW_021938571.1
Chr30	NW_021939155.1
Chr30	NW_021940230.1
Chr30	NW_021939672.1
Chr30	NW_021937317.1
ChrW	NW_021938810.1
ChrW	NW_021938437.1
ChrW	NW_021937678.1
ChrW	NW_021938588.1
ChrW	NW_021938641.1
ChrW	NW_021938242.1
ChrW	NW_021939670.1
ChrW	NW_021938261.1
ChrW	NW_021939060.1
ChrW	NW_021938677.1
ChrW	NW_021938188.1
ChrW	NW_021938929.1
ChrW	NW_021939031.1
Chr31	NW_021939372.1
Chr31	NW_021939097.1
Chr31	NW_021940487.1
Chr31	NW_021938112.1
Chr31	NW_021939521.1
Chr31	NW_021940205.1
Chr31	NW_021938962.1
Chr31	NW_021940232.1
Chr31	NW_021938209.1
Chr31	NW_021938208.1
Chr31	NW_021940652.1
Chr31	NW_021939665.1
Chr31	NW_021940672.1
Chr31	NW_021938023.1
Chr31	NW_021938665.1
Chr31	NW_021938251.1
Chr31	NW_021939853.1
Chr31	NW_021940107.1
Chr31	NW_021938562.1
Chr31	NW_021940509.1
Chr31	NW_021939545.1
Chr31	NW_021938364.1
Chr31	NW_021939836.1
Chr31	NW_021940237.1
Chr31	NW_021939532.1
Chr31	NW_021940483.1
Chr32	NW_021937953.1
Chr32	NW_021939348.1
Chr32	NW_021937952.1
Chr32	NW_021939993.1
Chr32	NW_021937687.1
Chr32	NW_021940515.1
Chr32	NW_021937706.1
Chr32	NW_021940450.1
Chr32	NW_021939163.1
Chr32	NW_021940641.1
Chr32	NW_021940009.1
Chr32	NW_021939424.1
Chr32	NW_021937849.1
Chr32	NW_021938258.1
Chr32	NW_021937484.1
Chr32	NW_021940168.1
Chr32	NW_021939454.1
Chr32	NW_021937902.1
Chr33	NW_021937501.1
Chr33	NW_021939334.1
Chr33	NW_021939126.1
Chr34	NW_021939959.1
Chr34	NW_021940293.1
Chr34	NW_021938157.1
Chr34	NW_021940409.1
Chr34	NW_021937437.1
Chr34	NW_021939627.1
Chr34	NW_021940793.1
Chr34	NW_021937976.1
Chr34	NW_021939820.1
Chr34	NW_021939986.1
Chr34	NW_021939116.1
Chr34	NW_021940064.1
Chr34	NW_021939598.1
Chr34	NW_021940153.1
Chr34	NW_021938691.1
Chr34	NW_021938692.1
Chr35	NW_021939865.1
Chr35	NW_021939353.1
Chr35	NW_021939312.1
Chr35	NW_021939254.1
Chr35	NW_021938592.1
Chr35	NW_021939590.1
Chr35	NW_021940285.1
Chr35	NW_021940786.1
Chr35	NW_021939232.1
Chr35	NW_021940480.1
Chr35	NW_021938623.1
Chr35	NW_021939337.1
Chr35	NW_021939457.1
Chr35	NW_021937461.1
Chr35	NW_021940343.1
Chr35	NW_021938044.1
Chr35	NW_021938428.1
Chr35	NW_021937753.1
Chr35	NW_021937789.1
Chr35	NW_021938247.1
Chr35	NW_021938200.1
Chr35	NW_021939700.1
Chr35	NW_021938155.1
Chr35	NW_021939388.1
Chr35	NW_021940435.1
Chr35	NW_021939174.1
Chr35	NW_021937901.1
Chr35	NW_021938442.1
Chr35	NW_021937972.1
Chr35	NW_021938316.1
Chr35	NW_021940757.1
Chr35	NW_021940523.1
Chr35	NW_021938105.1
Chr36	NW_021937970.1
Chr36	NW_021939300.1
Chr36	NW_021938141.1
Chr36	NW_021938582.1
Chr37	NW_021938094.1
Chr37	NW_021939239.1
Chr37	NW_021938799.1
Chr37	NW_021939879.1
Chr37	NW_021940133.1
Chr37	NW_021939437.1
unplaced	NW_021938893.1
unplaced	NW_021938472.1
unplaced	NW_021937929.1
unplaced	NW_021939176.1
unplaced	NW_021939572.1
unplaced	NW_021940692.1
unplaced	NW_021938368.1
unplaced	NW_021939961.1
unplaced	NW_021938017.1
unplaced	NW_021937433.1
unplaced	NW_021938091.1
unplaced	NW_021939513.1
unplaced	NW_021937711.1
unplaced	NW_021938021.1
unplaced	NW_021939526.1
unplaced	NW_021940557.1
unplaced	NW_021938559.1
unplaced	NW_021938675.1
unplaced	NW_021938540.1
unplaced	NW_021939951.1
unplaced	NW_021940024.1
unplaced	NW_021940497.1
unplaced	NW_021937997.1
unplaced	NW_021939442.1
unplaced	NW_021938457.1
unplaced	NW_021938517.1
unplaced	NW_021938280.1
unplaced	NW_021937428.1
unplaced	NW_021938606.1
unplaced	NW_021939261.1
unplaced	NW_021938326.1
unplaced	NW_021940705.1
unplaced	NW_021938630.1
unplaced	NW_021939683.1
unplaced	NW_021940816.1
unplaced	NW_021940493.1
unplaced	NW_021938484.1
unplaced	NW_021939889.1
unplaced	NW_021938696.1
unplaced	NW_021937700.1
unplaced	NW_021938637.1
unplaced	NW_021937299.1
unplaced	NW_021937300.1
unplaced	NW_021937301.1
unplaced	NW_021937302.1
unplaced	NW_021937303.1
unplaced	NW_021937304.1
unplaced	NW_021937305.1
unplaced	NW_021937306.1
unplaced	NW_021937307.1
unplaced	NW_021937308.1
unplaced	NW_021937309.1
unplaced	NW_021937310.1
unplaced	NW_021937311.1
unplaced	NW_021937312.1
unplaced	NW_021937313.1
unplaced	NW_021937314.1
unplaced	NW_021937315.1
unplaced	NW_021937316.1
unplaced	NW_021937318.1
unplaced	NW_021937319.1
unplaced	NW_021937320.1
unplaced	NW_021937321.1
unplaced	NW_021937322.1
unplaced	NW_021937323.1
unplaced	NW_021937324.1
unplaced	NW_021937325.1
unplaced	NW_021937326.1
unplaced	NW_021937327.1
unplaced	NW_021937328.1
unplaced	NW_021937329.1
unplaced	NW_021937330.1
unplaced	NW_021937331.1
unplaced	NW_021937332.1
unplaced	NW_021937333.1
unplaced	NW_021937334.1
unplaced	NW_021937335.1
unplaced	NW_021937336.1
unplaced	NW_021937337.1
unplaced	NW_021937338.1
unplaced	NW_021937339.1
unplaced	NW_021937340.1
unplaced	NW_021937341.1
unplaced	NW_021937342.1
unplaced	NW_021937343.1
unplaced	NW_021937344.1
unplaced	NW_021937345.1
unplaced	NW_021937346.1
unplaced	NW_021937347.1
unplaced	NW_021937348.1
unplaced	NW_021937349.1
unplaced	NW_021937350.1
unplaced	NW_021937351.1
unplaced	NW_021937352.1
unplaced	NW_021937353.1
unplaced	NW_021937354.1
unplaced	NW_021937355.1
unplaced	NW_021937356.1
unplaced	NW_021937357.1
unplaced	NW_021937358.1
unplaced	NW_021937359.1
unplaced	NW_021937361.1
unplaced	NW_021937362.1
unplaced	NW_021937363.1
unplaced	NW_021937364.1
unplaced	NW_021937365.1
unplaced	NW_021937366.1
unplaced	NW_021937367.1
unplaced	NW_021937368.1
unplaced	NW_021937369.1
unplaced	NW_021937370.1
unplaced	NW_021937371.1
unplaced	NW_021937372.1
unplaced	NW_021937373.1
unplaced	NW_021937374.1
unplaced	NW_021937375.1
unplaced	NW_021937376.1
unplaced	NW_021937377.1
unplaced	NW_021937378.1
unplaced	NW_021937379.1
unplaced	NW_021937381.1
unplaced	NW_021937382.1
unplaced	NW_021937383.1
unplaced	NW_021937384.1
unplaced	NW_021937385.1
unplaced	NW_021937386.1
unplaced	NW_021937387.1
unplaced	NW_021937389.1
unplaced	NW_021937390.1
unplaced	NW_021937391.1
unplaced	NW_021937392.1
unplaced	NW_021937393.1
unplaced	NW_021937394.1
unplaced	NW_021937395.1
unplaced	NW_021937396.1
unplaced	NW_021937397.1
unplaced	NW_021937398.1
unplaced	NW_021937399.1
unplaced	NW_021937400.1
unplaced	NW_021937401.1
unplaced	NW_021937402.1
unplaced	NW_021937404.1
unplaced	NW_021937405.1
unplaced	NW_021937406.1
unplaced	NW_021937407.1
unplaced	NW_021937409.1
unplaced	NW_021937411.1
unplaced	NW_021937412.1
unplaced	NW_021937413.1
unplaced	NW_021937414.1
unplaced	NW_021937415.1
unplaced	NW_021937416.1
unplaced	NW_021937417.1
unplaced	NW_021937418.1
unplaced	NW_021937419.1
unplaced	NW_021937420.1
unplaced	NW_021937421.1
unplaced	NW_021937423.1
unplaced	NW_021937424.1
unplaced	NW_021937425.1
unplaced	NW_021937426.1
unplaced	NW_021937427.1
unplaced	NW_021937429.1
unplaced	NW_021937430.1
unplaced	NW_021937431.1
unplaced	NW_021937432.1
unplaced	NW_021937434.1
unplaced	NW_021937435.1
unplaced	NW_021937436.1
unplaced	NW_021937438.1
unplaced	NW_021937439.1
unplaced	NW_021937440.1
unplaced	NW_021937441.1
unplaced	NW_021937442.1
unplaced	NW_021937443.1
unplaced	NW_021937444.1
unplaced	NW_021937445.1
unplaced	NW_021937446.1
unplaced	NW_021937447.1
unplaced	NW_021937448.1
unplaced	NW_021937449.1
unplaced	NW_021937450.1
unplaced	NW_021937451.1
unplaced	NW_021937452.1
unplaced	NW_021937453.1
unplaced	NW_021937454.1
unplaced	NW_021937455.1
unplaced	NW_021937456.1
unplaced	NW_021937457.1
unplaced	NW_021937458.1
unplaced	NW_021937459.1
unplaced	NW_021937460.1
unplaced	NW_021937462.1
unplaced	NW_021937463.1
unplaced	NW_021937464.1
unplaced	NW_021937465.1
unplaced	NW_021937466.1
unplaced	NW_021937467.1
unplaced	NW_021937468.1
unplaced	NW_021937469.1
unplaced	NW_021937470.1
unplaced	NW_021937471.1
unplaced	NW_021937472.1
unplaced	NW_021937473.1
unplaced	NW_021937474.1
unplaced	NW_021937475.1
unplaced	NW_021937476.1
unplaced	NW_021937477.1
unplaced	NW_021937478.1
unplaced	NW_021937479.1
unplaced	NW_021937480.1
unplaced	NW_021937483.1
unplaced	NW_021937485.1
unplaced	NW_021937486.1
unplaced	NW_021937487.1
unplaced	NW_021937488.1
unplaced	NW_021937489.1
unplaced	NW_021937490.1
unplaced	NW_021937491.1
unplaced	NW_021937492.1
unplaced	NW_021937493.1
unplaced	NW_021937494.1
unplaced	NW_021937496.1
unplaced	NW_021937497.1
unplaced	NW_021937498.1
unplaced	NW_021937499.1
unplaced	NW_021937500.1
unplaced	NW_021937502.1
unplaced	NW_021937503.1
unplaced	NW_021937504.1
unplaced	NW_021937505.1
unplaced	NW_021937506.1
unplaced	NW_021937507.1
unplaced	NW_021937508.1
unplaced	NW_021937509.1
unplaced	NW_021937510.1
unplaced	NW_021937511.1
unplaced	NW_021937512.1
unplaced	NW_021937513.1
unplaced	NW_021937514.1
unplaced	NW_021937516.1
unplaced	NW_021937517.1
unplaced	NW_021937518.1
unplaced	NW_021937519.1
unplaced	NW_021937520.1
unplaced	NW_021937521.1
unplaced	NW_021937522.1
unplaced	NW_021937523.1
unplaced	NW_021937524.1
unplaced	NW_021937525.1
unplaced	NW_021937526.1
unplaced	NW_021937527.1
unplaced	NW_021937528.1
unplaced	NW_021937529.1
unplaced	NW_021937530.1
unplaced	NW_021937531.1
unplaced	NW_021937532.1
unplaced	NW_021937533.1
unplaced	NW_021937534.1
unplaced	NW_021937535.1
unplaced	NW_021937536.1
unplaced	NW_021937537.1
unplaced	NW_021937538.1
unplaced	NW_021937539.1
unplaced	NW_021937540.1
unplaced	NW_021937541.1
unplaced	NW_021937542.1
unplaced	NW_021937543.1
unplaced	NW_021937544.1
unplaced	NW_021937545.1
unplaced	NW_021937546.1
unplaced	NW_021937547.1
unplaced	NW_021937548.1
unplaced	NW_021937549.1
unplaced	NW_021937550.1
unplaced	NW_021937551.1
unplaced	NW_021937552.1
unplaced	NW_021937553.1
unplaced	NW_021937555.1
unplaced	NW_021937557.1
unplaced	NW_021937558.1
unplaced	NW_021937559.1
unplaced	NW_021937560.1
unplaced	NW_021937561.1
unplaced	NW_021937562.1
unplaced	NW_021937563.1
unplaced	NW_021937564.1
unplaced	NW_021937565.1
unplaced	NW_021937566.1
unplaced	NW_021937567.1
unplaced	NW_021937568.1
unplaced	NW_021937569.1
unplaced	NW_021937570.1
unplaced	NW_021937571.1
unplaced	NW_021937572.1
unplaced	NW_021937573.1
unplaced	NW_021937574.1
unplaced	NW_021937575.1
unplaced	NW_021937576.1
unplaced	NW_021937577.1
unplaced	NW_021937578.1
unplaced	NW_021937579.1
unplaced	NW_021937580.1
unplaced	NW_021937581.1
unplaced	NW_021937582.1
unplaced	NW_021937583.1
unplaced	NW_021937584.1
unplaced	NW_021937585.1
unplaced	NW_021937586.1
unplaced	NW_021937587.1
unplaced	NW_021937588.1
unplaced	NW_021937589.1
unplaced	NW_021937590.1
unplaced	NW_021937591.1
unplaced	NW_021937592.1
unplaced	NW_021937593.1
unplaced	NW_021937594.1
unplaced	NW_021937595.1
unplaced	NW_021937596.1
unplaced	NW_021937597.1
unplaced	NW_021937598.1
unplaced	NW_021937599.1
unplaced	NW_021937600.1
unplaced	NW_021937601.1
unplaced	NW_021937602.1
unplaced	NW_021937603.1
unplaced	NW_021937604.1
unplaced	NW_021937605.1
unplaced	NW_021937606.1
unplaced	NW_021937607.1
unplaced	NW_021937608.1
unplaced	NW_021937609.1
unplaced	NW_021937610.1
unplaced	NW_021937611.1
unplaced	NW_021937612.1
unplaced	NW_021937614.1
unplaced	NW_021937615.1
unplaced	NW_021937616.1
unplaced	NW_021937617.1
unplaced	NW_021937618.1
unplaced	NW_021937619.1
unplaced	NW_021937620.1
unplaced	NW_021937621.1
unplaced	NW_021937622.1
unplaced	NW_021937623.1
unplaced	NW_021937624.1
unplaced	NW_021937625.1
unplaced	NW_021937626.1
unplaced	NW_021937627.1
unplaced	NW_021937628.1
unplaced	NW_021937629.1
unplaced	NW_021937630.1
unplaced	NW_021937631.1
unplaced	NW_021937632.1
unplaced	NW_021937633.1
unplaced	NW_021937634.1
unplaced	NW_021937635.1
unplaced	NW_021937636.1
unplaced	NW_021937637.1
unplaced	NW_021937638.1
unplaced	NW_021937639.1
unplaced	NW_021937640.1
unplaced	NW_021937641.1
unplaced	NW_021937643.1
unplaced	NW_021937644.1
unplaced	NW_021937645.1
unplaced	NW_021937646.1
unplaced	NW_021937647.1
unplaced	NW_021937648.1
unplaced	NW_021937649.1
unplaced	NW_021937650.1
unplaced	NW_021937651.1
unplaced	NW_021937652.1
unplaced	NW_021937653.1
unplaced	NW_021937654.1
unplaced	NW_021937655.1
unplaced	NW_021937656.1
unplaced	NW_021937657.1
unplaced	NW_021937658.1
unplaced	NW_021937660.1
unplaced	NW_021937661.1
unplaced	NW_021937662.1
unplaced	NW_021937663.1
unplaced	NW_021937664.1
unplaced	NW_021937665.1
unplaced	NW_021937666.1
unplaced	NW_021937667.1
unplaced	NW_021937668.1
unplaced	NW_021937669.1
unplaced	NW_021937670.1
unplaced	NW_021937671.1
unplaced	NW_021937672.1
unplaced	NW_021937674.1
unplaced	NW_021937675.1
unplaced	NW_021937676.1
unplaced	NW_021937677.1
